ec5_uuid,created_at,1_TIme,2_NC,4_ST_Behavior,5_Contact,6_AR,7_3M,8_Notes,10_NY_Behavior,11_Contact,12_AR,13_3M,14_Notes,16_SR_Behavior,17_Contact,18_AR,19_3M,20_Notes,22_TK_Behavior,23_Contact,24_AR,25_3M,26_Notes,28_TN_Behavior,29_Contact,30_AR,31_3M,32_Notes,34_LN_Behavior,35_Contact,36_AR,37_3M,38_Notes,40_MT_Behavior,41_Contact,42_AR,43_3M,44_Notes,46_NR_Behavior,47_Contact,48_AR,49_3M,50_Notes,condition,date,msm,group,trial,phase,first_day,block_ID,Ind1,behaviour,partner,playing,aggression,notes,qualifier,4_MS_Behavior,10_ST_Behavior,16_NH_Behavior,22_LN_Behavior,28_NR_Behavior,34_MN_Behavior,40_NY_Behavior,4_MZ_Behavior,8_Occurence,9_Notes,11_SB_Behavior,12_Contact,13_AR,14_3M,15_Occurence,16_Notes,18_GG_Behavior,19_Contact,20_AR,21_3M,22_Occurence,23_Notes,25_TN_Behavior,26_Contact,27_AR,28_3M,29_Occurence,30_Notes,32_SR_Behavior,33_Contact,34_AR,35_3M,36_Occurence,37_Notes,38_MS_Behavior,39_Contact,40_AR,41_3M,42_Occurence,43_Notes,44_LN_Behavior,45_Contact,46_AR,47_3M,48_Occurence,49_Notes,50_NR_Behavior,51_Contact,52_AR,53_3M,54_Occurence,55_Notes
c90d4d07-ca68-4d39-8f86-a31d68516511,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Crow,14-03-2025,590.0,A_UNKNOWN_DATE,1,morn1,,morn1_A_UNKNOWN_DATE_trial1_first_cont,SR,PL,NY,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58361727-bc67-450e-9e1b-02255720d6a4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Crow,14-03-2025,598.0,A_UNKNOWN_DATE,1,morn1,,morn1_A_UNKNOWN_DATE_trial1_first_cont,SR,PL,TK,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58361727-bc67-450e-9e1b-02255720d6a4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Crow,14-03-2025,598.0,A_UNKNOWN_DATE,1,morn1,,morn1_A_UNKNOWN_DATE_trial1_first_cont,TK,PL,SR,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3f2413d1-6ccf-4445-9645-46eb684420fc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Crow,14-03-2025,600.0,A_UNKNOWN_DATE,1,morn1,,morn1_A_UNKNOWN_DATE_trial1_first_cont,TK,PL,TN,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3f2413d1-6ccf-4445-9645-46eb684420fc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Crow,14-03-2025,600.0,A_UNKNOWN_DATE,1,morn1,,morn1_A_UNKNOWN_DATE_trial1_first_cont,TN,PL,SR,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1558914b-679a-4994-8591-47ec11545bbb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Crow,14-03-2025,602.0,A_UNKNOWN_DATE,1,morn1,,morn1_A_UNKNOWN_DATE_trial1_first_cont,TK,PL,TN,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1558914b-679a-4994-8591-47ec11545bbb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Crow,14-03-2025,602.0,A_UNKNOWN_DATE,1,morn1,,morn1_A_UNKNOWN_DATE_trial1_first_cont,TN,PL,TK,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c98294c3-5a9e-4329-be14-3a0ebb3b47ff,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Crow,14-03-2025,606.0,A_UNKNOWN_DATE,1,morn1,,morn1_A_UNKNOWN_DATE_trial1_first_cont,SR,D,,0.0,1.0,,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
944ede61-b8f8-4389-ac9b-ff24abf3491b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Crow,14-03-2025,845.0,A_UNKNOWN_DATE,1,enrich,,enrich_A_UNKNOWN_DATE_trial1_first_cont,SR,D,,0.0,1.0,,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
959cfe03-457c-45de-a15b-1d994ca5b053,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Crow,14-03-2025,847.0,A_UNKNOWN_DATE,1,enrich,,enrich_A_UNKNOWN_DATE_trial1_first_cont,SR,D,,0.0,1.0,,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
000d5dd3-dc1e-4f11-b8dd-840bd1d1a878,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Crow,14-03-2025,865.0,A_UNKNOWN_DATE,1,enrich,,enrich_A_UNKNOWN_DATE_trial1_first_cont,ST,PL,TK,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
000d5dd3-dc1e-4f11-b8dd-840bd1d1a878,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Crow,14-03-2025,865.0,A_UNKNOWN_DATE,1,enrich,,enrich_A_UNKNOWN_DATE_trial1_first_cont,TK,PL,ST,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9e487cb8-e8ad-4cf1-91ab-ca6f8595890e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Crow,14-03-2025,871.0,A_UNKNOWN_DATE,1,enrich,,enrich_A_UNKNOWN_DATE_trial1_first_cont,NY,PL,TN,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9e487cb8-e8ad-4cf1-91ab-ca6f8595890e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Crow,14-03-2025,871.0,A_UNKNOWN_DATE,1,enrich,,enrich_A_UNKNOWN_DATE_trial1_first_cont,TN,PL,NY,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d261cd4b-fe25-4d2e-acb8-cae9b130edd4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Crow,14-03-2025,873.0,A_UNKNOWN_DATE,1,enrich,,enrich_A_UNKNOWN_DATE_trial1_first_cont,NY,PL,TN,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d261cd4b-fe25-4d2e-acb8-cae9b130edd4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Crow,14-03-2025,873.0,A_UNKNOWN_DATE,1,enrich,,enrich_A_UNKNOWN_DATE_trial1_first_cont,TN,PL,NY,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72ed8a4d-539c-4918-b335-58239d162d43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Crow,14-03-2025,875.0,A_UNKNOWN_DATE,1,enrich,,enrich_A_UNKNOWN_DATE_trial1_first_cont,ST,PL,TK,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72ed8a4d-539c-4918-b335-58239d162d43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Crow,14-03-2025,875.0,A_UNKNOWN_DATE,1,enrich,,enrich_A_UNKNOWN_DATE_trial1_first_cont,TK,PL,ST,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3909e663-272d-45a2-b6f2-4482e4865914,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Crow,14-03-2025,877.0,A_UNKNOWN_DATE,1,enrich,,enrich_A_UNKNOWN_DATE_trial1_first_cont,NY,PL,TN,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3909e663-272d-45a2-b6f2-4482e4865914,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Crow,14-03-2025,877.0,A_UNKNOWN_DATE,1,enrich,,enrich_A_UNKNOWN_DATE_trial1_first_cont,TN,PL,NY,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2289b276-e0b0-41d6-8f9e-f9b4462aedeb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Crow,14-03-2025,879.0,A_UNKNOWN_DATE,1,enrich,,enrich_A_UNKNOWN_DATE_trial1_first_cont,NY,PL,TN,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2289b276-e0b0-41d6-8f9e-f9b4462aedeb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Crow,14-03-2025,879.0,A_UNKNOWN_DATE,1,enrich,,enrich_A_UNKNOWN_DATE_trial1_first_cont,TN,PL,NY,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8ea1849b-4ca0-401d-a667-132ba459c867,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Playback,23-03-2025,597.0,A_2,2,morn1,,morn1_A_2_trial2_first_play,TK,PL,TN,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8ea1849b-4ca0-401d-a667-132ba459c867,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Playback,23-03-2025,597.0,A_2,2,morn1,,morn1_A_2_trial2_first_play,TN,PL,TK,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
587a9f27-7310-45ad-95b7-0bd65e52b7f2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Playback,23-03-2025,601.0,A_2,2,morn1,,morn1_A_2_trial2_first_play,TK,PL,TN,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
587a9f27-7310-45ad-95b7-0bd65e52b7f2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Playback,23-03-2025,601.0,A_2,2,morn1,,morn1_A_2_trial2_first_play,TN,PL,TK,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2fadc64c-8267-4a7f-9036-6afe56c409a4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Playback,23-03-2025,603.0,A_2,2,morn1,,morn1_A_2_trial2_first_play,TK,PL,TN,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2fadc64c-8267-4a7f-9036-6afe56c409a4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Playback,23-03-2025,603.0,A_2,2,morn1,,morn1_A_2_trial2_first_play,TN,PL,TK,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64924d9c-df63-4427-8f0f-908575217f15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Playback,23-03-2025,647.0,A_2,2,morn2,,morn2_A_2_trial2_first_play,SR,D,,0.0,1.0,,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d47b9dbf-23ca-4c53-ab79-541331267594,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Playback,23-03-2025,879.0,A_2,2,enrich,,enrich_A_2_trial2_first_play,SR,PL,"TN, ST",1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d47b9dbf-23ca-4c53-ab79-541331267594,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Playback,23-03-2025,879.0,A_2,2,enrich,,enrich_A_2_trial2_first_play,TN,PL,"SR, ST",1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47c0ffd7-b4d7-42b4-9230-3b94ff27d70d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Playback,24-03-2025,688.0,A_2,2,morn2,,morn2_A_2_trial2_sec_play,TN,D,,0.0,1.0,,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
911f7cda-716c-4d2e-b187-6aa5abad4af7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Playback,24-03-2025,698.0,A_2,2,morn2,,morn2_A_2_trial2_sec_play,TN,D,,0.0,1.0,,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e2c6c451-d6bf-400e-8908-3215e66d3579,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Playback,24-03-2025,704.0,A_2,2,morn2,,morn2_A_2_trial2_sec_play,TN,D,,0.0,1.0,,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04223151-786c-4cb8-ae75-9be15a329c74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Playback,24-03-2025,828.0,A_2,2,enrich,,enrich_A_2_trial2_sec_play,TN,D,,0.0,1.0,,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0c049448-45c6-482d-82f5-b1ce445eccaa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Playback,24-03-2025,830.0,A_2,2,enrich,,enrich_A_2_trial2_sec_play,TN,D,,0.0,1.0,,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d8119d58-c487-4608-a022-12ca52f8ac12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Playback,24-03-2025,848.0,A_2,2,enrich,,enrich_A_2_trial2_sec_play,ST,PL,NY,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d8119d58-c487-4608-a022-12ca52f8ac12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Playback,24-03-2025,848.0,A_2,2,enrich,,enrich_A_2_trial2_sec_play,NY,PL,ST,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92cdf155-3b28-4c4b-a856-5f25a14fa331,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Playback,24-03-2025,850.0,A_2,2,enrich,,enrich_A_2_trial2_sec_play,ST,D,,0.0,1.0,,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6683f027-997d-4e1f-b8f9-e21bc9f167b9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Playback,24-03-2025,872.0,A_2,2,enrich,,enrich_A_2_trial2_sec_play,TK,PL,TN,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6683f027-997d-4e1f-b8f9-e21bc9f167b9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Playback,24-03-2025,872.0,A_2,2,enrich,,enrich_A_2_trial2_sec_play,TN,PL,TK,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68a9273a-0adf-4d5c-818f-e9dbb4a17271,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Playback,27-04-2025,656.0,A_2,5,morn2,,morn2_A_2_trial5_sec_play,TK,PL,TN,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68a9273a-0adf-4d5c-818f-e9dbb4a17271,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Playback,27-04-2025,656.0,A_2,5,morn2,,morn2_A_2_trial5_sec_play,TN,PL,TK,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10bbb36f-2d05-4dcf-bcfa-1b7518c99f90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Playback,27-04-2025,657.0,A_2,5,morn2,,morn2_A_2_trial5_sec_play,TK,PL,TN,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10bbb36f-2d05-4dcf-bcfa-1b7518c99f90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Playback,27-04-2025,657.0,A_2,5,morn2,,morn2_A_2_trial5_sec_play,TN,PL,TK,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ea1d4464-0fbc-4bc4-9525-559fe40d283e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Playback,27-04-2025,703.0,A_2,5,morn2,,morn2_A_2_trial5_sec_play,ST,PL,SR,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ea1d4464-0fbc-4bc4-9525-559fe40d283e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Playback,27-04-2025,703.0,A_2,5,morn2,,morn2_A_2_trial5_sec_play,SR,PL,ST,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
beb9c314-c22a-42ca-9e7f-d08aa010e270,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Playback,27-04-2025,705.0,A_2,5,morn2,,morn2_A_2_trial5_sec_play,ST,PL,SR,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
beb9c314-c22a-42ca-9e7f-d08aa010e270,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Playback,27-04-2025,705.0,A_2,5,morn2,,morn2_A_2_trial5_sec_play,SR,PL,ST,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d7674044-93c1-472b-9e50-4132184e24b4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Playback,27-04-2025,860.0,A_2,5,enrich,,enrich_A_2_trial5_sec_play,ST,PL,TK,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d7674044-93c1-472b-9e50-4132184e24b4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Playback,27-04-2025,860.0,A_2,5,enrich,,enrich_A_2_trial5_sec_play,TK,PL,ST,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
842baca4-c8cc-471b-bd6c-c8d207641154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Playback,27-04-2025,862.0,A_2,5,enrich,,enrich_A_2_trial5_sec_play,ST,PL,TK,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
842baca4-c8cc-471b-bd6c-c8d207641154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Playback,27-04-2025,862.0,A_2,5,enrich,,enrich_A_2_trial5_sec_play,TK,PL,ST,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8e91fcf8-6acb-4c52-a718-f82689445fc6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Crow,04-05-2025,684.0,A_2,6,morn2,,morn2_A_2_trial6_first_cont,ST,D,,0.0,1.0,,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cf584515-267f-4dad-bb38-2f6c5b6b07cd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Crow,04-05-2025,861.0,A_2,6,enrich,,enrich_A_2_trial6_first_cont,NY,PL,TK,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cf584515-267f-4dad-bb38-2f6c5b6b07cd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Crow,04-05-2025,861.0,A_2,6,enrich,,enrich_A_2_trial6_first_cont,TK,PL,NY,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83435206-2b82-432d-a48a-75e68515b4cd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Crow,04-05-2025,863.0,A_2,6,enrich,,enrich_A_2_trial6_first_cont,NY,PL,TK,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83435206-2b82-432d-a48a-75e68515b4cd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Crow,04-05-2025,863.0,A_2,6,enrich,,enrich_A_2_trial6_first_cont,TK,PL,NY,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dae6b028-21a0-44b2-8cd3-5106e5792a1b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Crow,04-05-2025,865.0,A_2,6,enrich,,enrich_A_2_trial6_first_cont,NY,PL,TK,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dae6b028-21a0-44b2-8cd3-5106e5792a1b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Crow,04-05-2025,865.0,A_2,6,enrich,,enrich_A_2_trial6_first_cont,TK,PL,NY,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3feb256b-2580-4f9f-86f4-abdc1d61cc90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Crow,04-05-2025,866.0,A_2,6,enrich,,enrich_A_2_trial6_first_cont,NY,PL,TK,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3feb256b-2580-4f9f-86f4-abdc1d61cc90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Crow,04-05-2025,866.0,A_2,6,enrich,,enrich_A_2_trial6_first_cont,TK,PL,NY,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
f4caf734-0126-4fb5-8ee7-fa47daa4c4b4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Crow,04-05-2025,868.0,A_2,6,enrich,,enrich_A_2_trial6_first_cont,NY,PL,TK,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
f4caf734-0126-4fb5-8ee7-fa47daa4c4b4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Crow,04-05-2025,868.0,A_2,6,enrich,,enrich_A_2_trial6_first_cont,TK,PL,NY,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4619d5cc-83c7-424f-bdd8-f044796cf768,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Crow,04-05-2025,870.0,A_2,6,enrich,,enrich_A_2_trial6_first_cont,NY,PL,TK,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4619d5cc-83c7-424f-bdd8-f044796cf768,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Crow,04-05-2025,870.0,A_2,6,enrich,,enrich_A_2_trial6_first_cont,TK,PL,NY,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1488c320-9bb6-498b-adaa-8b63d168a5b7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Crow,04-05-2025,872.0,A_2,6,enrich,,enrich_A_2_trial6_first_cont,NY,PL,TK,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1488c320-9bb6-498b-adaa-8b63d168a5b7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Crow,04-05-2025,872.0,A_2,6,enrich,,enrich_A_2_trial6_first_cont,TK,PL,NY,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4350a689-b209-41f6-9c7f-c8e35cc39969,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Crow,05-05-2025,883.0,A_2,6,enrich,,enrich_A_2_trial6_sec_cont,ST,PL,NY,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4350a689-b209-41f6-9c7f-c8e35cc39969,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Crow,05-05-2025,883.0,A_2,6,enrich,,enrich_A_2_trial6_sec_cont,NY,PL,ST,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
